Averages 
  
Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace
                           15    0.6  0.0                    0.0                   0.0                    0.0                   0.0

                           15    0.7  0.0                    0.0                   0.0                    0.0                   0.0

                           15    0.8  0.0032768361581920983  0.009045491792445359  0.006896415212869389   0.013333333333333329  0.008747220163083757

                           15    0.9  0.0032768361581920983  0.009045491792445359  0.006896415212869389   0.013333333333333329  0.008747220163083757

                           15    1    0.0038617884471581782  0.010660214309342287  0.008127503271496687   0.01571348402636772   0.010308697823080372

                           25   -0.2  -                      -                     -                      -                     -

                           25   -0.1  0.023427376184766417   0.06382456433071851   0.048383919258417986   0.04413594162596928   0.06610705374070397

                           25    0.6  0.0                    0.0                   0.0                    0.0                   0.0

                           25    0.7  0.0                    0.0                   0.0                    0.0                   0.0

                           25    0.8  0.0                    0.0                   0.0                    0.0                   0.0

                           25    0.9  0.0                    0.0                   0.0                    0.0                   0.0

                           25    1    0.0                    0.0                   0.0                    0.0                   0.0

                           50   -0.3  0.043634529009903465   0.05517393339560144   0.020937210544598565   0.019405476014687197  0.04490927441967308

                           50    0.7  0.0                    0.0                   0.0                    0.0                   0.0

                           50    0.8  0.0                    0.0                   0.0                    0.0                   0.0

                           50    0.9  0.0                    0.0                   0.0                    0.0                   0.0

                           50    1    -                      -                     -                      -                     -

 
 Medians 
  
Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace

-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------

                            5   -0.3  0.478947         0.10043                0.445594   0.238462            0.380435

                            5   -0.2  0.678947         0.189369               0.403987   0.245547            0.267729

                            5   -0.1  0.8              0.4297                 0.554579   0.383333            0.468531

                            5    0    0.763158         0.341801               0.496929   0.328358            0.393617

                            5    0.4  1                1                      1          1                   1

                            5    0.5  1                1                      1          1                   1

                            5    0.6  1                1                      1          1                   1

                            5    0.7  1                1                      1          1                   1

                            5    0.8  1                1                      1          1                   1

                            5    0.9  1                1                      1          1                   1

                            5    1    1                1                      1          1                   1

                           15   -0.2  0.738701         0.291225               0.463961   0.302271            0.30006

                           15   -0.1  0.763277         0.36222                0.519273   0.350388            0.375199

                           15    0    0.771751         0.393301               0.545843   0.374613            0.423853

                           15    0.5  1                1                      1          1                   1

                           15    0.6  1                1                      1          1                   1

                           15    0.7  1                1                      1          1                   1

                           15    0.8  1                1                      1          1                   1

                           15    0.9  1                1                      1          1                   1

                           15    1    1                1                      1          1                   1

                           25   -0.2  0.782222         0.424071               0.569981   0.398102            0.449019

                           25   -0.1  0.76303          0.362042               0.519291   0.351361            0.370169

                           25    0.6  1                1                      1          1                   1

                           25    0.7  1                1                      1          1                   1

                           25    0.8  1                1                      1          1                   1

                           25    0.9  1                1                      1          1                   1

                           25    1    1                1                      1          1                   1

                           50   -0.3  0.646583         0.154676               0.400194   0.246336            0.194008

                           50    0.7  1                1                      1          1                   1

                           50    0.8  1                1                      1          1                   1

                           50    0.9  1                1                      1          1                   1

                           50    1    1                1                      1          1                   1

 
 
 
Dataframe:
 
       5     15    25    50

-1.0  0.00  0.00  0.00  0.00

-0.9  0.00  0.00  0.00  0.00

-0.8  0.00  0.00  0.00  0.00

-0.7  0.00  0.00  0.00  0.00

-0.6  0.00  0.00  0.00  0.00

-0.5  0.00  0.00  0.00  0.00

-0.4  0.00  0.00  0.00  0.00

-0.3  0.08  0.00  0.00  0.08

-0.2  0.08  0.08  0.04  0.00

-0.1  0.12  0.20  0.08  0.00

 0.0  0.04  0.04  0.00  0.00

 0.1  0.00  0.00  0.00  0.00

 0.2  0.00  0.00  0.00  0.00

 0.3  0.00  0.00  0.00  0.00

 0.4  0.04  0.00  0.00  0.00

 0.5  0.12  0.04  0.00  0.00

 0.6  0.64  0.28  0.24  0.00

 0.7  0.92  0.84  0.84  0.60

 0.8  1.00  1.00  1.00  1.00

 0.9  1.00  1.00  0.92  0.72

 1.0  1.00  0.72  0.40  0.04
