Averages 
  
Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace

                           15   -0.2  -                      -                     -                      -                      -

                           15    0.2  -                      -                     -                      -                      -

                           15    0.3  0.0                    0.0                   0.0                    0.0                    0.0

                           15    0.4  0.0                    0.0                   0.0                    0.0                    0.0

                           15    0.5  0.0                    0.0                   0.0                    0.0                    0.0

                           15    0.6  0.0                    0.0                   0.0                    0.0                    0.0

                           25   -0.3  0.014020842415438797   0.02452431705667865   0.01973453979541086    0.016616406218079482   0.03660544063300508

                           25   -0.2  0.005142594772265754   0.033581742234898085  0.0327943700550421     0.028490556448812706   0.05767136566023808

                           25    0.3  0.0020640820785447706  0.005617871728515082  0.004255378489193053   0.008340576562282999   0.0055062488641372245

                           25    0.4  0.0019797979797979703  0.005388473265907989  0.00408161566041978    0.008000000000000007   0.0052814083755668316

                           25    0.5  0.0                    0.0                   0.0                    0.0                    0.0

                           50   -0.4  -                      -                     -                      -                      -

                           50   -0.3  -                      -                     -                      -                      -

                           50   -0.2  -                      -                     -                      -                      -

                           50    0.3  0.0011124157274998924  0.002996581542677911  0.002258653370587443   0.004472135954999583   0.0029667146311251396

                           50    0.4  0.0009949748743718566  0.002680224011819599  0.0020202009896970186  0.0040000000000000036  0.0026535102340156103

 
 Medians 
  
Number of sequences/cluster    Gap      Rand    Adjusted Rand    Fowlkes and Mallows    Jaccard    Adjusted Wallace

-----------------------------  -----  --------  ---------------  ---------------------  ---------  ------------------

                            5   -0.3  0.563158      0.185854                  0.489134   0.278261           0.542169

                            5   -0.2  0.773684      0.39166                   0.542965   0.367647           0.479927

                            5   -0.1  0.805263      0.476545                  0.608121   0.430769           0.583942

                            5    0    0.784211      0.447126                  0.596956   0.414286           0.601145

                            5    0.1  1             1                         1          1                  1

                            5    0.2  1             1                         1          1                  1

                            5    0.3  1             1                         1          1                  1

                            5    0.4  1             1                         1          1                  1

                            5    0.5  1             1                         1          1                  1

                            5    0.6  1             1                         1          1                  1

                            5    0.7  1             1                         1          1                  1

                            5    0.8  1             1                         1          1                  1

                            5    0.9  1             1                         1          1                  1

                            5    1    1             1                         1          1                  1

                           15   -0.2  0.736158      0.304726                  0.481572   0.316252           0.334071

                           15    0.2  1             1                         1          1                  1

                           15    0.3  1             1                         1          1                  1

                           15    0.4  1             1                         1          1                  1

                           15    0.5  1             1                         1          1                  1

                           15    0.6  1             1                         1          1                  1

                           25   -0.3  0.730606      0.325855                  0.514993   0.342922           0.382468

                           25   -0.2  0.749293      0.33848                   0.506626   0.338869           0.361982

                           25    0.3  1             1                         1          1                  1

                           25    0.4  1             1                         1          1                  1

                           25    0.5  1             1                         1          1                  1

                           50   -0.4  0.261608      0.000307692               0.488987   0.244524           0.0154607

                           50   -0.3  0.736533      0.310187                  0.48745    0.321909           0.328376

                           50   -0.2  0.770905      0.389665                  0.54248    0.372125           0.398357

                           50    0.3  1             1                         1          1                  1

                           50    0.4  1             1                         1          1                  1


 
 
 Dataframe: 
          
5     15    25    50

-1.0  0.00  0.00  0.00  0.00

-0.9  0.00  0.00  0.00  0.00

-0.8  0.00  0.00  0.00  0.00

-0.7  0.00  0.00  0.00  0.00

-0.6  0.00  0.00  0.00  0.00

-0.5  0.00  0.00  0.00  0.00

-0.4  0.00  0.00  0.00  0.04

-0.3  0.12  0.00  0.24  0.04

-0.2  0.12  0.04  0.08  0.04

-0.1  0.12  0.00  0.00  0.00

 0.0  0.04  0.00  0.00  0.00

 0.1  0.04  0.00  0.00  0.00

 0.2  0.40  0.04  0.00  0.00

 0.3  0.88  1.00  0.92  0.80

 0.4  0.96  1.00  1.00  1.00

 0.5  0.96  0.88  0.56  0.00

 0.6  0.88  0.32  0.00  0.00

 0.7  0.68  0.00  0.00  0.00

 0.8  0.56  0.00  0.00  0.00

 0.9  0.52  0.00  0.00  0.00

 1.0  0.44  0.00  0.00  0.00
